,text,title
0,"노선, 정류소 등의 정보는 서울버스정보시스템과 인터페이스 하므로 앱(데이타) 업데이트 없이 정보를 제공합니다.
(서울버스정보시스템에 따라 버스 도착시간이 정확하지 않을 수 있습니다.)

[주요기능]
1. 퀵정보
- 즐겨찾기의 퀵정보 속성(퀵정보 표시, 시간, 요일)에 따라 앱을 구동하면 첫 화면에 퀵정보를 표시합니다.
- 등교/출근 시간 등에 퀵정보를 설정하여 사용하시면 더욱 편리합니다.
ex) 퀵정보표시 체크, 시간 08:00 ~ 09:00, 월/화/수/목/금
2. 버스 정보
- 버스의 노선정보 및 실시간 도착 정보가 노선도에 표시됩니다.
3. 정류소 정보
- 정류소이름 또는 번호로 검색하여 버스 도착 정보를 확인 할 수 있습니다.
(검색 결과 정렬은 검색 단어로 시작하는 정류소가 먼저 표시되고, 나머지는 올림차순으로 정렬됩니다.)
4. 버스도착 정보
- 정류소의 버스 도착정보를 보여줍니다.
- 정류소에 정차하는 버스를 모두 표시하여 보여준다.
- 버스 번호를 터치하면 해당 버스노선을 볼 수 있습니다.
- 선호버스(★)를 선택하면 선호버스는 항상 상위에 표시됩니다.
5. 즐겨찾기
- 버스도착 정보에서 즐겨찾기를 추가할 수 있습니다.
- 즐겨찾기의 퀵정보 속성 설정에 따라 앱이 실행될때 퀵정보를 표시합니다.
6. 정류소 위치정보 및 버스도착 정보
- 정류소의 위치정보를 구글 지도에 버스 아이콘으로 표시하면, 주변의 동일이름의 정류소 또한 검색됩니다.
----
개발자 연락처 :
+821075455748
자세히 알아보기",서울버스
1,"실시간 미세먼지(PM10), 초미세먼지(PM2.5) 정보를 한눈에!
오늘, 내일, 모레 최대 5일까지 미세먼지, 초미세먼지 예보를 한눈에!
시간단위 미세먼지(PM10), 초미세먼지(PM2.5) 예보 제공
요즘 날씨는 미세먼지를 확인하셔야 합니다.
오늘미세가 여러분의 건강을 지켜 드리겠습니다!

주요 기능:
+ 미세먼지 예보 (PM10 & 황사)
+ 미세먼지 실시간 농도 (PM10 & 황사)
+ 초미세먼지 실시간 농도 (PM2.5)
+ 통합대기 환경지수(CAI) 실시간 측정 값
+ 황사, 오존(O3), 이산화질소(NO2), 일산화탄소(CO), 이황산가스(SO2) 실시간 측정 값
+ 모든 측정소 초미세먼지 정보 제공 - 초미세먼지 값 미제공 측정소일 시, 가장 가까운 측정소 값으로 대체함
+ 위젯
+ 미세먼지가 나빠질 시 알람/경보 기능
+ 눈 알림/비 알림
+ 시간별 일별 날씨 (일기/기온/체감기온(동절기)/습도/풍향/풍속)
+ 미세먼지 날씨
+ 근처 3개 측정소 정보 제공
+ 중국 본토, 홍콩, 대만, 싱가포르, 베트남, 인도, 말레이시아, 태국, 한국, 일본의 2,000곳 이상의 감시소/도시의 실시간 대기 질 지수(AQI)를 제공.
+ 데이터 그래프 기록 : 24시간 과거와 미래의 대기 오염 상황을 그래프로 살펴볼 수 있습니다.

자료출처:
- 환경부 한국환경공단 (에어코리아)
- 안양대학교 기후에너지환경융합연구소 (소장: 환경에너지공학과 구윤서 교수)
- 기상청
----
개발자 연락처 :
+821049911402
자세히 알아보기",오늘미세
2,"주요기능

1. 실거래가 검색기능
- 간단한 검색을 통해 원하는 지역 실거래가 부동산 정보 확인
- 지역별, 거래별(매매/전세/월세), 종류별(아파트/오피스텔/빌라/주택/토지/상가/사무실 등),
가격별, 면적별 검색 기능 제공

2. 검색결과 (매매물건 정보)
- 실시간 ""허위물건 없는 매매 정보"" 업데이트
- 현장 ""실제 사진""과 물건의 상세 설명이 가미된 ""매물 동영상""으로 확인 가능
- 지도/주변시설/가격정보 등 매매에 필요한 모든 정보 제공
- VR 이미지를 통해 다각도로 매물 분석 가능!

3. 관심등록
- 마음에 드는 물건은 관심물건으로 등록 가능
- ""관심"" 메뉴 클릭시. 관심매물 쉽게 찾아 보기


사용 중에 문제점 또는 건의사항이 있을 경우,
알토마토 고객센터 rtomato@etomato.com으로 메일을 보내주세요.
고객님의 소중한 의견을 귀담아 듣고 좋은 서비스를 제공하겠습니다.

www.rtomato.com


※ 필수 접근권한 안내
1. ID : 회원 구별 및 식별
2. 위치 : 기기의 위치를 이용한 인근 매물 조회
3. 사진/ 영상 : 사진, 동영상 등 기기 내 저장된 파일 및 기기의 외부 저장소를 이용해 매물 등록 및 수정
4. 카메라 : 기기의 카메라를 이용해 매물 등록 및 수정


tag : 부동산통, 집통, 매매, 전세, 월세, 주택, 실거래가, 부동산, 알토마토
----
개발자 연락처 :
서울시 마포구 양화진 4길 32(합정동) 이토마토빌딩 4층 토마토솔루션
02-2128-2600
자세히 알아보기",집통
3,"여행을 떠나고 싶으나 어디로 갈지 모르는 당신,
대한민국 구석구석을 가보고 싶은 당신

사진으로 미리 체험하고 자신의 입맛대로 골라봅시다.
먼저 사진 2장이 연속적으로 나오게 됩니다. 마음에 드는 곳을 선택하다보면
자신에게 맞는 여행지를 추천해줍니다.

또한 사용자들이 가장 많이 선택한 사진의 장소도 알 수 있습니다.
자세히 알아보기",배틀트립
4,"대한민국 모든 공항의 국내선 및 국제선에 대한 출도착 정보를 실시간 조회 할 수 있으며 주간 스케줄 확인도 가능합니다.
특정 항공편의 탑승 위치 또는 입국장 위치를 지도로 확인 할 수 있습니다.
추가적인 기능으로는 주요국가의 시간과 입국 신고서 작성법에 대한 설명서가 추가되어 있습니다.
----
개발자 연락처 :
shockutility@gmail.com
자세히 알아보기",한국공항 출도착
5,"미세빅으로 인근 여러 측정소들의 추세를 보고, 우리 나라 전체와 중국, 일본의 대기질 현황을 편리하게 살펴보세요.

1.가까운 측정소 한 곳의 수치만 보면 충분할까요? 지도에서 인근 여러 측정소들의 현황을 확인해보세요
2.지도에서 우리 나라와 중국, 일본 어디든지 편리하게 이동하며 미세먼지 현황을 볼 수 있어요
3.모든 대기오염원의 최근 25시간 동안의 추세를 볼 수 있어요
4.미세빅의 6단계 공신력 있는 WHO, US AQI, 한국 CAI의 가이드와 기준에 근거합니다.
5.한국과 중국 모두 일관된 농도 단위 (μg/m3, ppm)로 볼 수 있어요.
6.원하는 장소를 검색하여 인근 측정소 현황을 확인할 수 있어요.


미세빅은 WHO, US AQI, 한국 CAI의 가이드와 기준에 근거하여 6단계 색상으로 보여줍니다.
초미세먼지와 미세먼지는 WHO 기준과 US AQI를 적용한 6단계입니다. 이산화질소, 오존, 이산화황, 일산화탄소는 한국 기준이 해외보다 강하여 저~중농도에서는 한국 기준을 적용하였고 고농도에서는 US AQI를 적용한 6단계 입니다. (회색 마커는 해당 시간에 수치가 없다는 것을 의미합니다.)


이름을 아는 장소가 지도에서 어디인지 정확히 몰라서 찾기 어려운 적이 있으시죠? 아이들 학교나 유치원 인근을 알고 싶은데 지도에서 찾기 어려운 경우도 있습니다.
검색 버튼을 누르시면 검색 화면으로 전환됩니다. 키워드로 검색하고 장소를 선택하면, 해당 장소의 가장 가까운 5개 이상의 측정소 수치를 보실 수 있습니다.


인근/한국/한중의 세 가지 줌 버튼이 있습니다.
인근 버튼을 클릭하여 내 주변 미세먼지 현황을 확인해보세요 (스마트폰의 GPS 정보에 접근 가능해야 합니다)
한국 버튼을 클릭하여 한국 전체 현황을 확인해보세요
한중 버튼을 클릭하여 한국뿐만 아니라 중국, 일본 대만의 현황도 확인해보세요.


측정소 마커를 클릭하면 해당 측정소에서 측정한 오염원들의 25시간 동안의 추세를 볼 수 있습니다. ""민감군에게 해로움"" 등급 이상인 오염원들을 나쁜 순으로 보여주어서 어떤 오염원이 현재 대기 오염에 더 크게 기여하고 있는지 알 수 있습니다. 추세 그래프의 시간은 수치 발표시간이 아닌 ""측정한 시간""으로 표시하여 현재 시간과 측정 시점과의 차이를 더 잘 아실 수 있도록 했습니다.


한국 측정소들의 수치는 매시 9분, 13분, 18분 3차례에 걸쳐 업데이트됩니다. 대체로 9분에 전국 약 360여개 측정소 중에서 약 300여개가 업데이트되고, 13분에 나머지 50~60개 측정소가 업데이트됩니다.
해외 측정소들은 업데이트되는 시간이 제각각이지만 30~40분 경에 가장 많이 업데이트됩니다. 일본 측정소의 경우 2시간 이상 늦게 업데이트 됩니다. 예를 들면, 오후 4시에 업데이트되는 수치가 오후 3시 평균이 아닌 오후 2시나 그 이전 시간 평균입니다.
자세히 알아보기",미세빅
6,"버스도착-부산


부산을 경유하는 버스도착을 알려주는 앱입니다.
출발/도착역으로 버스의 도착시간을 알려줍니다.


* 기능
- 출발역, 도착역으로 탈수 있는 버스의 도착시간 확인(탈수 없는 버스 제외)
- 먼저 도착하는 버스 순서로 도착시간 확인
- 부산(부산을 경유하는)의 버스 도착 정보, 정류소 정보
- 현재역 기준으로 버스도착 시간 확인
- 정류소 이름, 정류소 번호를 사용하여 정류소 검색
- 버스 검색, 버스 노선 검색 및 지도 보기
- 버스, 노선별, 정류소별 첫차, 막차(마지막차) 조회


* 사용방법
- 정류소 검색에서 출발역 선택
- 정류소 검색에서 도착역 선택
- 출발역, 도착역 기준으로 탈수있는 버스의 도착시간 확인
- 정류소 검색, 버스 검색에서 정류소, 버스 노선 조회 및 지도에서 보기


* 설정 메뉴
- 화면 방향 : 앱의 화면 방향을 설정
- 권한 추가 : 권한을 추가하면 현재위치를 지도에 표시(권한 없어도됨)


* 주의
- 버스도착-부산의 정보는 참고용입니다.
- 어떤 결과도 보증하지는 않습니다.


* 이 앱은 오픈 소스 및 공개된 이미지등이 사용됩니다.
* 공공데이터 API 사용 : 공공데이터포털(www.data.go.kr)에서 제공하는 공공데이터를 활용하여 앱을 개발하였습니다.
* 노선정보조회, 정류소정보조회, 대중교통환승경로조회, 버스위치정보조회, 버스도착정보조회 서비스(www.data.go.kr)를 활용하여 앱을 개발하였습니다. [제공:부산광역시]
* Dmitry Zelinsky 아이콘 사용 : www.iconfinder.com/iconsets/transport-7
----
개발자 연락처 :
http://airplanezapk.blogspot.com/
자세히 알아보기",버스도착-부산
7,"길을 잃은 동물이나 유기 된 동물을 보호하고 있는 보호소의 정보를 조회 합니다.

날짜 별,지역 별, 종류 별(개,고양이,기타)로 조회 가능합니다.

동물을 잃어 버린 분들은 하루 빨리 애완동물을 찾기 바라며
주인을 찾을 수 없는 동물들이 새로운 동반자를 만나길 바랍니다.


ps 조회에 필요한 정보는 농림축산식품부 농림축산검역본부의
동물보호관리시스템 유기 동물 조회 서비스를 활용합니다.
자세히 알아보기",유기동물조회
8,"서민들을 위한 실거래 및 부동산 정보 조회 어플!
공공테이터 포털 국토교통부 부동산 실거래가 API 기준으로 제작되었습니다.
아파트, 연립/다세대, 오피스텔의 매매,전세,월세 거래정보를 포함합니다.
일부 데이터가 누락되어 표시 될 수 있습니다.",집값어때
9,"우리 동네 실시간 미세먼지 초미세먼지 및 통합 대기오염 정보를 확인하세요.

오존 일산화탄소 아황산가스 이산화질소 등 우리 몸에 해로운 대기오염 통합정보 제공

미세먼지 PM 10 초미세먼지 PM 2.5 는 중금속을 포함한 1급 발암물질로 영유아 어린이 노약자 에게 특히 해롭습니다.

장기간 미세먼지에 노출될 경우 면역력이 급격히 저하되어 감기, 천식, 기관지염 등의 호흡기 질환은 물론 심혈관 질환, 피부질환, 안구질환 등 각종질병에 노출될 수 있습니다.

[ 미세먼지 경보 국내 기준 ]

좋음 30 이하
보통 80 이하
나쁨 150 이하
매우나쁨 150 이상

한국의 미세먼지 허용치는 WHO 세계보건기구 해외 권고 기준보다 높습니다.

봄 가을 환절기 중국발 황사와 도시의 스모그로 부터 가족의 건강을 지키세요.

언제 어디서든 빠르고 간편하게!

전국 미세먼지 측정소에서 수집된 데이터를 기상청 에어코리아 환경부 제공
----
개발자 연락처 :
07043523142
자세히 알아보기",미세먼지 PM10
